group_id,group_size,merge_key,FullAddress,inputGranularity,validationGranularity,geocodeGranularity,addressComplete,hasUnconfirmedComponents,hasInferredComponents,possibleNextAction,hasReplacedComponents,hasInferredComponents_detail,hasReplacedComponents_detail,confirmedComponents_detail,unconfirmedComponents_detail,fixed_formattedAddress,fixed_postalAddress_lines,fixed_postalAddress_locality,fixed_postalAddress_adminArea,fixed_postalAddress_postalCode,fixed_postalAddress_regionCode,placeId,lat,lng,http_status,invalid_reason,source_file
4411,1,106 LAUREL PARK RD COMPTON 90220,19009 106 Laurel Park Rd Unit 106 Compton 90220,SUB_PREMISE,ROUTE,ROUTE,True,True,True,ACCEPT,,administrative_area_level_1:CA,,,,"19009 106 South Laurel Park Road Unit 106, Compton, CA 90220, USA",19009 106 S Laurel Park Rd Unit 106,Compton,CA,90220,US,EkExOTAwOSAxMDYgU291dGggTGF1cmVsIFBhcmsgUm9hZCBVbml0IDEwNiwgQ29tcHRvbiwgQ0EgOTAyMjAsIFVTQSIuKiwKFAoSCaeOjkWwNN2AEQvVkAHhOnpVEhQKEglNWx1_a8vCgBFCy1uRms5rBQ,33.8644201,-118.2197795,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE,representative_addresses_validation_results_one_per_group__89127rows.csv
4412,1,106TH ST W LANCASTER 93536,44515 106th St W Lancaster 93536,PREMISE,OTHER,OTHER,True,True,True,FIX,,administrative_area_level_1:CA,,,,"44515 106th St W, Lancaster, CA 93536, USA",44515 106th St W,Lancaster,CA,93536,US,ChIJQYDoaLFawoARBz4Lfc9yxFg,34.703947,-118.1481016,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE; possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
4413,1,107 LAUREL PARK RD COMPTON 90220,19009 107 Laurel Park Rd Unit 107 Compton 90220,SUB_PREMISE,ROUTE,ROUTE,True,True,True,ACCEPT,,administrative_area_level_1:CA,,,,"19009 107 South Laurel Park Road Unit 107, Compton, CA 90220, USA",19009 107 S Laurel Park Rd Unit 107,Compton,CA,90220,US,EkExOTAwOSAxMDcgU291dGggTGF1cmVsIFBhcmsgUm9hZCBVbml0IDEwNywgQ29tcHRvbiwgQ0EgOTAyMjAsIFVTQSIuKiwKFAoSCaeOjkWwNN2AEQvVkAHhOnpVEhQKEglNWx1_a8vCgBFCy1uRms5rBQ,33.8644201,-118.2197795,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE,representative_addresses_validation_results_one_per_group__89127rows.csv
4415,1,108 LAUREL PARK RD COMPTON 90220,19009 108 Laurel Park Rd Unit 108 Compton 90220,SUB_PREMISE,ROUTE,ROUTE,True,True,True,ACCEPT,,administrative_area_level_1:CA,,,,"19009 108 South Laurel Park Road Unit 108, Compton, CA 90220, USA",19009 108 S Laurel Park Rd Unit 108,Compton,CA,90220,US,EkExOTAwOSAxMDggU291dGggTGF1cmVsIFBhcmsgUm9hZCBVbml0IDEwOCwgQ29tcHRvbiwgQ0EgOTAyMjAsIFVTQSIuKiwKFAoSCaeOjkWwNN2AEQvVkAHhOnpVEhQKEglNWx1_a8vCgBFCy1uRms5rBQ,33.8644201,-118.2197795,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE,representative_addresses_validation_results_one_per_group__89127rows.csv
4416,1,108TH ST E LITTLEROCK 93543,33326 108th St E Littlerock 93543,PREMISE,ROUTE,ROUTE,True,True,True,ACCEPT,,administrative_area_level_1:CA,,,,"33326 108th Street East, Littlerock, CA 93543, USA",33326 108th St E,Littlerock,CA,93543,US,ChIJw8WqD_L9woARbSBvk7nOcRI,34.496539,-117.936048,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE,representative_addresses_validation_results_one_per_group__89127rows.csv
4420,1,109 LAUREL PARK RD COMPTON 90220,19009 109 Laurel Park Rd Unit 109 Compton 90220,SUB_PREMISE,ROUTE,ROUTE,True,True,True,ACCEPT,,administrative_area_level_1:CA,,,,"19009 109 South Laurel Park Road Unit 109, Compton, CA 90220, USA",19009 109 S Laurel Park Rd Unit 109,Compton,CA,90220,US,EkExOTAwOSAxMDkgU291dGggTGF1cmVsIFBhcmsgUm9hZCBVbml0IDEwOSwgQ29tcHRvbiwgQ0EgOTAyMjAsIFVTQSIuKiwKFAoSCaeOjkWwNN2AEQvVkAHhOnpVEhQKEglNWx1_a8vCgBFCy1uRms5rBQ,33.8644201,-118.2197795,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE,representative_addresses_validation_results_one_per_group__89127rows.csv
4427,1,11 LAUREL PARK RD COMPTON 90220,19009 11 Laurel Park Rd Unit 11 Compton 90220,SUB_PREMISE,ROUTE,ROUTE,True,True,True,ACCEPT,,administrative_area_level_1:CA,,,,"19009 11 South Laurel Park Road Unit 11, Compton, CA 90220, USA",19009 11 S Laurel Park Rd Unit 11,Compton,CA,90220,US,Ej8xOTAwOSAxMSBTb3V0aCBMYXVyZWwgUGFyayBSb2FkIFVuaXQgMTEsIENvbXB0b24sIENBIDkwMjIwLCBVU0EiLiosChQKEgmnjo5FsDTdgBEL1ZAB4Tp6VRIUChIJTVsdf2vLwoARQstbkZrOawU,33.8644201,-118.2197795,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE,representative_addresses_validation_results_one_per_group__89127rows.csv
4428,1,110 LAUREL PARK RD COMPTON 90220,19009 110 Laurel Park Rd Unit 110 Compton 90220,SUB_PREMISE,ROUTE,ROUTE,True,True,True,ACCEPT,,administrative_area_level_1:CA,,,,"19009 110 South Laurel Park Road Unit 110, Compton, CA 90220, USA",19009 110 S Laurel Park Rd Unit 110,Compton,CA,90220,US,EkExOTAwOSAxMTAgU291dGggTGF1cmVsIFBhcmsgUm9hZCBVbml0IDExMCwgQ29tcHRvbiwgQ0EgOTAyMjAsIFVTQSIuKiwKFAoSCaeOjkWwNN2AEQvVkAHhOnpVEhQKEglNWx1_a8vCgBFCy1uRms5rBQ,33.8644201,-118.2197795,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE,representative_addresses_validation_results_one_per_group__89127rows.csv
4431,1,111 LAUREL PARK RD COMPTON 90220,19009 111 Laurel Park Rd Unit 111 Compton 90220,SUB_PREMISE,ROUTE,ROUTE,True,True,True,ACCEPT,,administrative_area_level_1:CA,,,,"19009 111 South Laurel Park Road Unit 111, Compton, CA 90220, USA",19009 111 S Laurel Park Rd Unit 111,Compton,CA,90220,US,EkExOTAwOSAxMTEgU291dGggTGF1cmVsIFBhcmsgUm9hZCBVbml0IDExMSwgQ29tcHRvbiwgQ0EgOTAyMjAsIFVTQSIuKiwKFAoSCaeOjkWwNN2AEQvVkAHhOnpVEhQKEglNWx1_a8vCgBFCy1uRms5rBQ,33.8644201,-118.2197795,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE,representative_addresses_validation_results_one_per_group__89127rows.csv
4433,1,112 LAUREL PARK RD COMPTON 90220,19009 112 Laurel Park Rd Unit 112 Compton 90220,SUB_PREMISE,ROUTE,ROUTE,True,True,True,ACCEPT,,administrative_area_level_1:CA,,,,"19009 112 South Laurel Park Road Unit 112, Compton, CA 90220, USA",19009 112 S Laurel Park Rd Unit 112,Compton,CA,90220,US,EkExOTAwOSAxMTIgU291dGggTGF1cmVsIFBhcmsgUm9hZCBVbml0IDExMiwgQ29tcHRvbiwgQ0EgOTAyMjAsIFVTQSIuKiwKFAoSCaeOjkWwNN2AEQvVkAHhOnpVEhQKEglNWx1_a8vCgBFCy1uRms5rBQ,33.8644201,-118.2197795,200,validationGranularity_not_in_PREMISE_PREMISE_PROXIMITY_SUB_PREMISE,representative_addresses_validation_results_one_per_group__89127rows.csv
