group_id,group_size,merge_key,FullAddress,inputGranularity,validationGranularity,geocodeGranularity,addressComplete,hasUnconfirmedComponents,hasInferredComponents,possibleNextAction,hasReplacedComponents,hasInferredComponents_detail,hasReplacedComponents_detail,confirmedComponents_detail,unconfirmedComponents_detail,fixed_formattedAddress,fixed_postalAddress_lines,fixed_postalAddress_locality,fixed_postalAddress_adminArea,fixed_postalAddress_postalCode,fixed_postalAddress_regionCode,placeId,lat,lng,http_status,invalid_reason,source_file
6115,1,A PARKVALLE CIR CERRITOS 90703,18129 A Parkvalle Cir Cerritos 90703,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"18129 A, Parkvalle Circle, Cerritos, CA 90703, USA",18129 A | Parkvalle Cir,Cerritos,CA,90703,US,ChIJPxY3J2cs3YARbwdj3GzTmxA,33.8662988,-118.0392373,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6116,1,A POINT REYES PL CERRITOS 90703,13127 A Point Reyes Pl Cerritos 90703,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"13127 A, Point Reyes Place, Cerritos, CA 90703, USA",13127 A | Point Reyes Pl,Cerritos,CA,90703,US,ChIJF29FSFgs3YARXgkFrykMPLs,33.8670875,-118.0521492,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6118,1,A PRINCETON ST LOS ANGELES 90023,4002 A Princeton St Los Angeles 90023,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"4002 A, Princeton Street, Los Angeles, CA 90023, USA",4002 A | Princeton St,Los Angeles,CA,90023,US,ChIJoT3xOkLPwoARctDRlCP_hVA,34.0270734,-118.1845587,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6119,1,A PROSPECT AVE SAN GABRIEL 91776,1515 A Prospect Ave San Gabriel 91776,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"1515 A, Prospect Avenue, San Gabriel, CA 91776, USA",1515 A | Prospect Ave,San Gabriel,CA,91776,US,ChIJCXLBHLbawoAR-KWFuTYkbQs,34.0814811,-118.1056216,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6120,1,A REDONDO BEACH BLVD LAWNDALE 90260,4227 A Redondo Beach Blvd Lawndale 90260,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"4227 A, Redondo Beach Boulevard, Lawndale, CA 90260, USA",4227 A | Redondo Beach Blvd,Lawndale,CA,90260,US,ChIJT1bWD_-0woARsr4VINfu4rs,33.8756414,-118.3498549,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6122,1,A RICHMOND RD LA CANADA 91011,455 a Richmond Rd La Canada Flintridge 91011,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"455 a, Richmond Road, La Cañada Flintridge, CA 91011, USA",455 a | Richmond Rd,La Cañada Flintridge,CA,91011,US,ChIJOQ7jow7CwoAR9VBBcAdoreo,34.198398,-118.1887098,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6139,1,A SAN PASQUAL ST PASADENA 91107,2421 A San Pasqual St Pasadena 91107,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"2421 A, San Pasqual Street, Pasadena, CA 91107, USA",2421 A | San Pasqual St,Pasadena,CA,91107,US,ChIJ74Zlp1DbwoARrTGcactMhyI,34.1385226,-118.1005994,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6142,1,A ST HUNTINGTON PARK 90255,2448 A Flower St Huntington Park 90255,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"2448 A, Flower Street, Huntington Park, CA 90255, USA",2448 A | Flower St,Huntington Park,CA,90255,US,ChIJxU482z_JwoARcuCehoxwTqI,33.9709163,-118.2286396,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6144,1,A VALENCIA BLVD VALENCIA 91355,23630 A Valencia Blvd Valencia 91355,PREMISE_PROXIMITY,PREMISE_PROXIMITY,PREMISE_PROXIMITY,,,True,FIX,,administrative_area_level_1:CA,,,,"23630 A, Valencia Boulevard, Valencia, CA 91355, USA",23630 A | Valencia Blvd,Valencia,CA,91355,US,ChIJn6WPuBOHwoARC6WT8LN50Xk,34.4168088,-118.5487917,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6145,1,A VALLEY BLVD LA PUENTE 91746,14278 A Valley Blvd La Puente 91746,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"14278 A, Valley Boulevard, La Puente, CA 91746, USA",14278 A | Valley Blvd,La Puente,CA,91746,US,ChIJuVLQCfHWwoARlo6q7jWi1bk,34.0374768,-117.9804998,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
